prey_code,pred_code,weight
F75,F204,0.000416384
F76,F204,0.000417326
F77,F204,0.000419379
F78,F204,0.000419178
F79,F204,4.16E-04
F8,F204,0.001932897
F80,F204,0.000416384
F81,F204,0.000418938
F82,F204,4.16E-04
F83,F204,0.000414347
F9,F204,0.001934959
F1,F208,7.08E-05
F10,F208,7.56164E-05
F100,F208,7.56164E-05
F101,F208,7.48475E-05
F102,F208,7.44531E-05
F104,F208,7.50115E-05
F110,F208,7.55E-05
F118,F208,7.56164E-05
F119,F208,7.56E-05
F120,F208,7.56164E-05
F121,F208,7.56E-05
F122,F208,7.48678E-05
F123,F208,7.56164E-05
F124,F208,7.56164E-05
F128,F208,7.56164E-05
F129,F208,7.56164E-05
F13,F208,7.56164E-05
F131,F208,7.56164E-05
F132,F208,7.13363E-05
F139,F208,7.56164E-05
F14,F208,7.56164E-05
F145,F208,7.54713E-05
F146,F208,7.56164E-05
F147,F208,7.56164E-05
F148,F208,7.65E-05
F149,F208,7.53E-05
F15,F208,7.56164E-05
F150,F208,7.55E-05
F151,F208,7.44531E-05
F152,F208,7.56164E-05
F153,F208,7.56164E-05
F156,F208,7.56438E-05
F158,F208,7.57E-05
F160,F208,7.55E-05
F162,F208,7.56E-05
F163,F208,7.55E-05
F166,F208,7.20157E-05
F167,F208,7.56164E-05
F168,F208,7.37721E-05
F169,F208,7.56164E-05
F174,F208,7.56164E-05
F177,F208,7.56164E-05
F179,F208,7.56164E-05
F180,F208,0.000073317
F185,F208,7.56164E-05
F186,F208,7.56164E-05
F187,F208,7.56164E-05
F188,F208,7.10014E-05
F19,F208,7.56164E-05
F192,F208,7.56164E-05
F193,F208,7.56164E-05
F198,F208,7.10014E-05
F2,F208,7.56E-05
F203,F208,7.56164E-05
F205,F208,7.63209E-05
F207,F208,7.49352E-05
F21,F208,7.56164E-05
F28,F208,7.56E-05
F3,F208,7.56E-05
F4,F208,7.56164E-05
F42,F208,7.56164E-05
F43,F208,7.51286E-05
F44,F208,7.56164E-05
F45,F208,7.56164E-05
F46,F208,7.56164E-05
F48,F208,0.00007553
F49,F208,7.56E-05
F5,F208,7.56164E-05
F50,F208,7.55E-05
F51,F208,7.56E-05
F52,F208,7.56E-05
F53,F208,7.44531E-05
F59,F208,7.46E-05
F6,F208,7.56164E-05
F60,F208,0.000050411
F61,F208,2.52055E-05
F64,F208,7.49E-05
F65,F208,7.56E-05
F7,F208,7.56164E-05
F70,F208,7.56164E-05
F71,F208,7.56164E-05
F72,F208,7.55E-05
F74,F208,7.53652E-05
F76,F208,7.57876E-05
F77,F208,7.61604E-05
F78,F208,7.61239E-05
F79,F208,7.56E-05
F8,F208,7.55359E-05
F84,F208,7.56164E-05
F85,F208,7.56164E-05
F86,F208,7.48678E-05
F87,F208,6.66224E-05
F88,F208,6.87422E-05
F89,F208,7.62E-05
F9,F208,7.56164E-05
F90,F208,7.46971E-05
F91,F208,7.65736E-05
F95,F208,7.52E-05
F96,F208,7.46E-05
F97,F208,7.56164E-05
F98,F208,7.56164E-05
F29,F22,0.003870795
F51,F22,0.003870795
F60,F22,0.001935397
F61,F22,0.001921863
F67,F23,0.00790074
F112,F24,0.004137968
F161,F24,0.000828493
F162,F24,0.000828107
F163,F24,0.000826812
F164,F24,0.000827271
F165,F24,0.000826475
F98,F24,0.004142466
F49,F25,0.00346411
F50,F25,0.003460277
F8,F25,0.003460418
F9,F25,0.00346411
F91,F25,0.007040111
F1,F26,0.000439
F119,F26,0.001405644
F121,F26,0.001405644
F122,F26,0.001391727
F152,F26,0.001405644
F156,F26,0.000137858
F157,F26,0.001543452
F158,F26,1.38E-04
F159,F26,0.000135867
F160,F26,1.38E-04
F161,F26,0.001543452
F162,F26,1.38E-04
F163,F26,1.38E-04
F164,F26,0.000137605
F165,F26,0.000137473
F18,F26,0.001405644
F19,F26,0.001405644
F2,F26,0.000468548
F3,F26,0.001874192
F49,F26,0.001405644
F51,F26,0.001405644
F60,F26,0.001405644
F61,F26,0.001405644
F8,F26,0.000688307
F9,F26,0.000689041
F51,F28,0.035369753
F11,F30,0.000950774
F12,F30,0.000933304
F13,F30,0.00094389
F154,F30,0.002860274
F195,F30,0.000958192
F196,F30,0.000953377
F197,F30,0.000937639
F26,F30,2.86E-03
F76,F30,0.002866747
F51,F32,0.011881315
F60,F32,0.005940658
F61,F32,0.005940658
F1,F33,1.65E-04
F10,F33,0.000175616
F100,F33,0.000175616
F101,F33,0.000173831
F102,F33,0.000172915
F104,F33,0.000174212
F110,F33,1.75E-04
F118,F33,0.000175616
F119,F33,0.000175616
F120,F33,0.000175616
F121,F33,0.000175616
F122,F33,0.000173878
F123,F33,0.000175616
F124,F33,0.000175616
F128,F33,0.000175616
F129,F33,0.000175616
F13,F33,0.000175616
F131,F33,0.000175616
F132,F33,0.000165676
F139,F33,0.000175616
F14,F33,0.000175616
F145,F33,0.000175279
F146,F33,0.000175616
F147,F33,0.000175616
F148,F33,0.000177635
