Unique_link_identifier,Tip_label,Taxonomy,Metabolic_category,Feeding_type_-_consumer,Environment,Feeding_Mode,Trophic_Level,d15N,Mean_mass_(g),Mobility,Trophic_Uniqueness,Trophic_Flexibility,
414,,Artedidraco_skottsbergi,ectotherm_vertebrate,carnivorous,demersal,predator,3.85,12.53,33,4,0.106,0.4669,Error
415,,Dolloidraco_longedorsalis,ectotherm_vertebrate,carnivorous,demersal,predator,3.72,13.5,13,4,0.116,0.5498,Error
416,,Pogonophryne_marmorata,ectotherm_vertebrate,carnivorous,demersal,predator,3.71,11.83,190,4,0.159,0.4793,Error
417,,Pogonophryne_phyllopogon,ectotherm_vertebrate,carnivorous,demersal,predator,3.9,11.63,230,4,0.104,0.4313,Error
418,,Pogonophryne_permitini,ectotherm_vertebrate,carnivorous,demersal,predator,3.91,13.61,80,4,0.096,0.4878,Error
419,,Pogonophryne_scotti,ectotherm_vertebrate,carnivorous,demersal,predator,3.91,11.41,440,4,0.096,0.4878,Error
420,,Pogonophryne_barsukovi,ectotherm_vertebrate,carnivorous,demersal,predator,3.91,13.61,190,4,0.096,0.4878,Error
421,,Cygnodraco_mawsoni,ectotherm_vertebrate,carnivorous,demersal,predator,4.01,10.674,760,4,0.152,0.4128,Error
422,,Gerlachea_australis,ectotherm_vertebrate,carnivorous,benthopelagic,predator,3.91,9.58,260,4,0.136,0.4124,Error
423,,Gymnodraco_acuticeps,ectotherm_vertebrate,carnivorous,demersal,predator,3.75,10.74,1400,4,0.098,0.3593,Error
424,,Prionodraco_evansii,ectotherm_vertebrate,carnivorous,demersal,predator,3.5,9.84,64,4,0.096,0.3068,Error
425,,Racovitzia_glacialis,ectotherm_vertebrate,carnivorous,bathydemersal,predator,3.61,10.08,430,4,0.085,0.308,Error
426,,Chaenodraco_wilsoni,ectotherm_vertebrate,carnivorous,benthopelagic,predator,3.32,8.23,210,4,0.126,0.1778,Error
