"Food_Web","Measure","Species","Distinctiveness"
"Serengeti_Baskerville","FP","hyparrhenia_filipendula",9
"Serengeti_Baskerville","FP","hyparrhenia_rufa",9
"Serengeti_Baskerville","FP","hyperthelia_dissoluta",61.299999
"Serengeti_Baskerville","FP","hyperthelia_to_others",12.825001
"Serengeti_Baskerville","FP","hypoestes_forskaolii",31.7781203247863
"Serengeti_Baskerville","FP","iboza_spp.",35.886452991453
"Serengeti_Baskerville","FP","indigofera",12.666666
"Serengeti_Baskerville","FP","indigofera_basiflora",12
"Serengeti_Baskerville","FP","indigofera_hochstetteri",12
"Serengeti_Baskerville","FP","ipomoea_obscura",67.1616822066822
"Serengeti_Baskerville","FP","jasminoideae_to_oleoideae",30.2753418803419
"Serengeti_Baskerville","FP","jasminum_spp.",47.5753418803419
"Serengeti_Baskerville","FP","kalanchoe_spp.",128
"Serengeti_Baskerville","FP","kedrostis_foetidissima",97
"Serengeti_Baskerville","FP","kigelia_africana",43
"Serengeti_Baskerville","FP","Kobus_ellipsiprymnus",19.2
"Serengeti_Baskerville","FP","kyllinga_nervosa",53
"Serengeti_Baskerville","FP","lamiales_to_others",21.1561111111111
"Serengeti_Baskerville","FP","Leptailurus_serval",9.4
"Serengeti_Baskerville","FP","lonchocarpus_eriocalyx",24.666666
"Serengeti_Baskerville","FP","Loxodonta_africana",75.8
"Serengeti_Baskerville","FP","Lycaon_pictus",3.4
"Serengeti_Baskerville","FP","Madoqua_kirkii",21.8
"Serengeti_Baskerville","FP","maerua_cafra",28.666666
"Serengeti_Baskerville","FP","malpighiales_to_zygophyllales",6
"Serengeti_Baskerville","FP","malvales_to_sapindales",5
"Serengeti_Baskerville","FP","malvids_to_fabids",5
"Serengeti_Baskerville","FP","meliaceae_to_sapindaceae",20
"Serengeti_Baskerville","FP","microchloa_kunthii",10.652778
"Serengeti_Baskerville","FP","microchloa_to_others",5.326389
"Serengeti_Baskerville","FP","millettieae_to_indigofereae",12.666666
"Serengeti_Baskerville","FP","mimosideae_to_faboideae",13
"Serengeti_Baskerville","FP","moraceae_to_rhamnaceae",21
"Serengeti_Baskerville","FP","myrtales_to_others",9
"Serengeti_Baskerville","FP","Nanger_granti",6.1
"Serengeti_Baskerville","FP","nephelieae_to_paullinieae",250.775
"Serengeti_Baskerville","FP","nolinoideae_to_scilloideae",12
